"type","file","bytes","description"
"entry","README.md","6584","README"
"source export","exports/epstein-brunel-disclosure.html","50000","public HTML disclosure"
"raw email","raw/email/re-elements-financiers-epstein-brunel-2026-05-22.eml","4806957","sent email source"
"pdf packet","raw/source_pdfs/SIAD_BRUNEL_MC2_EVIDENCE_PACKET.pdf","3493231","primary evidence packet"
"pdf thread","raw/source_pdfs/TJ-PARIS-PARQUET-FINANCIER-email-thread.pdf","787717","email-thread export"
"report","reports/findings_gratitude_america.md","26001","supporting findings note"
"header extract","other/pgp_headers_2026-05-23.txt","1354","email/PGP headers only"
"signature","other/epstein-brunel-disclosure.html.asc","537","detached signature for HTML disclosure"
"checksum","other/epstein-brunel-disclosure.html.sha256","98","SHA-256 sidecar for HTML disclosure"
"signature","other/SIAD_BRUNEL_MC2_EVIDENCE_PACKET.pdf.asc","537","detached signature for primary evidence packet"
"checksum","other/SIAD_BRUNEL_MC2_EVIDENCE_PACKET.pdf.sha256","103","SHA-256 sidecar for primary evidence packet"
"public key","other/Joseph_Gs_Public_Key.asc","7319","public key for verification"
