claim_id,section,efta_number,page_number,token,lane,quote_status,excerpt
C01,Access Timeline,EFTA02024389,1,peter_thiel,core_person,QUOTE_READY,"Eric Schmidt Jim Simons Jes Staley Peter Thiel Ian Osborne (add Ian to both seminar lists?) On Mar 20, 2012, at 8:41 AM, jeffrey epstein wrote: set up a meeting time for jes and danny hillis on monday the 16th. . do not coordiante yet with danny„ but send danny the list of my proposed attendees for the money conference. thnaks danny will come to the tribeca ball."
C01,Access Timeline,EFTA02024389,1,thiel,core_person,QUOTE_READY,"Eric Schmidt Jim Simons Jes Staley Peter Thiel Ian Osborne (add Ian to both seminar lists?) On Mar 20, 2012, at 8:41 AM, jeffrey epstein wrote: set up a meeting time for jes and danny hillis on monday the 16th. . do not coordiante yet with danny„ but send danny the list of my proposed attendees for the money conference. thnaks danny will come to the tribeca ball."
C02,Access Timeline,EFTA01921275,0,peter_thiel,core_person,QUOTE_READY,"To: ehud barak From: Jeffrey E. Sent Fri 5/30/2014 3:07:32 PM peter thiel can come to dinner on the 9th can you stay unbtil then/ please note The information contained in this communication is confidential, may be attorney-client privileged, may constitute inside information, and is intended only for the use of the addressee. It is the property of JEE Unauthorized use, disclosure or copying"
C02,Access Timeline,EFTA01921275,0,thiel,core_person,QUOTE_READY,"To: ehud barak From: Jeffrey E. Sent Fri 5/30/2014 3:07:32 PM peter thiel can come to dinner on the 9th can you stay unbtil then/ please note The information contained in this communication is confidential, may be attorney-client privileged, may constitute inside information, and is intended only for the use of the addressee. It is the property of JEE Unauthorized use, disclosure or copying"
C02,Access Timeline,EFTA01921275,0,ehud_barak,access_politics,QUOTE_READY,"To: ehud barak From: Jeffrey E. Sent Fri 5/30/2014 3:07:32 PM peter thiel can come to dinner on the 9th can you stay unbtil then/ please note The information contained in this communication is confidential, may be attorney-client privileged, may constitute inside information, and is intended only for the use of the addressee. It is"
C03,Access Timeline,EFTA02587944,0,peter_thiel,core_person,QUOTE_NEEDS_CLEANUP,"From: jeffrey E. <jeevacation@gmail.com> Sent: Thursday, September 11, 2014 9:36 PM To: Larry Summers peter thiel with me weekend, ny, a=e you around? =AO please note The information conta=ned in this communication is confidential, may be attorney-client privi=eged, may constitute inside information, and is intended only for th= use of the addressee. It is the property of JEE Unauthorized use, d=sclosure or copying of this commun"
C03,Access Timeline,EFTA02587944,0,thiel,core_person,QUOTE_NEEDS_CLEANUP,"From: jeffrey E. <jeevacation@gmail.com> Sent: Thursday, September 11, 2014 9:36 PM To: Larry Summers peter thiel with me weekend, ny, a=e you around? =AO please note The information conta=ned in this communication is confidential, may be attorney-client privi=eged, may constitute inside information, and is intended only for th= use of the addressee. It is the property of JEE Unauthorized use, d=sclosure or copying of this commun"
C03,Access Timeline,EFTA02587944,0,larry_summers,access_academic,QUOTE_NEEDS_CLEANUP,"From: jeffrey E. <jeevacation@gmail.com> Sent: Thursday, September 11, 2014 9:36 PM To: Larry Summers peter thiel with me weekend, ny, a=e you around? =AO please note The information conta=ned in this communication is confidential, may be attorney-client privi=eged, may constitute inside information, and is intended only for th= use of the addressee. It is the property of JEE Unauthorized use, d=sclosure or copying of"
C04,Access Timeline,EFTA00362699,0,peter_thiel,core_person,QUOTE_READY,"From: ""jeffrey E."" <jeevacation@gmail.com> To: Peter Thiel >, Lesley Groff Subject: Re: Date: Fri, 12 Sep 2014 06:11:40 +0000 see you at 5 , bill burns will be here then dinner with woody and kathy On Fri, Sep 12, 2014 at 2:02 AM, Peter Thiel < wrote: Free from about 5pm onwards on Saturday... Sunday lunch with Kerrey would be great. --Peter On Sep 10, 2014, at 4:04 AM, ""jeff"
C04,Access Timeline,EFTA00362699,0,thiel,core_person,QUOTE_READY,"From: ""jeffrey E."" <jeevacation@gmail.com> To: Peter Thiel >, Lesley Groff Subject: Re: Date: Fri, 12 Sep 2014 06:11:40 +0000 see you at 5 , bill burns will be here then dinner with woody and kathy On Fri, Sep 12, 2014 at 2:02 AM, Peter Thiel < wrote: Free from about 5pm onwards on Saturday... Sunday lunch with Kerrey would be great. --Peter On Sep 10, 2014, at 4:04 AM, ""jeff"
