group,term_id,query,bucket,hit_count,efta_number,page_number,doc_type,sender,email_date,pdf_url,snippet
core_access,ambani,Anil Ambani,drill-more,12,EFTA00285790,3,calendar,,,,"minder: Leo to take off in the afternoon of May 23 and 24 for his daughters' recital 1:00pm LUNCH w/Michael Wolff 3:00pm Merwin to leave for daughters prom 4:30pm Appt w/Anil Ambani (MEMM) Fri. May 24, 2019 NY Reminder: Bobby Slayton in NY May 24-31, staying in apartment (arrive around 3pm) 7:00am Zoom Conference Call w/Fabrice Bourg and "
core_access,ambani,Anil Ambani,drill-more,12,EFTA00494902,0,email.header,Lesley Groff,2019-05-20,,"From: Lesley Groff To: Anil Ambani Subject: Jeffrey Epstein Date: Mon, 20 May 2019 12:46:58 +0000 Hello Anil. Hope you had a nice weekend. I am following up to confirm you will come see Jeffrey at his home this Thursday May 23rd at 4:30pm. Jeffrey's home address is: 9 East 71st Street (between 5th and Madison) Thank you, Lesley Assistant "
core_access,ambani,Anil Ambani,drill-more,12,EFTA00495653,0,email.header,,2019-05-23,,"From: To: Anil Ambani < Subject: Re: Meeting between Mr. Jeffrey Epstein and Mr. Anil Ambani on Thursday May 23rd at 4:30 pm Date: Thu. 23 May 2019 13:08:18 +0000 Good morning. Reconfirming Mr. Anil Ambani will come see Jeffrey today at 4:30pm. 9 East 71st Street between 5th and Madison. Thank you, Assistant to Jeffrey Epstein On May 20, "
core_access,ambani,Anil Ambani,drill-more,12,EFTA00500491,0,email.header,Lesley Groff,2019-05-21,,"iedman for an Eye Exam > • 1001 Park Ave (between 84th and Park) > JOJO TO DRIVE YOU > • Thurs. May 23, 2019 NY > • Reminder: Dave on holiday May 23-28 > • 4:30pm Appt w/Anil Ambani EFTA00500491"
core_access,ambani,Anil Ambani,drill-more,12,EFTA00501382,0,email.header,Lesley Groff,2019-05-20,,"From: Lesley Groff <MIMIII > To: Anil Ambani Subject: Jeffrey Epstein Date: Mon, 20 May 2019 12:46:22 +0000 EFTA00501382"
core_access,ambani,Anil Ambani,drill-more,12,EFTA00501537,0,email.header,Lesley Groff,2019-05-20,,"From: Lesley Groff <MIMIII > To: Anil Ambani Subject: Jeffrey Epstein Date: Mon, 20 May 2019 12:45:22 +0000 EFTA00501537"
core_access,ambani,Anil Ambani,drill-more,12,EFTA00502041,0,email.header,Lesley Groff,2019-05-20,,"From: Lesley Groff <a> To: Anil Ambani Subject: Jeffrey Epstein Date: Mon, 20 May 2019 12:46:52 +0000 EFTA00502041"
core_access,ambani,Anil Ambani,drill-more,12,EFTA00507137,7,image.scan,,,,"Last Anil Ambani Phone Number (Mobile) Address (Other) Mumbai, Reliance India Email (Work) Creation Date 2017-11-13 02:42:43 (UTC) Modification Date 2017-11-13 02:42:45 (UTC) ID 10 Contact Source Device NYC024328.aff4/Macintosh HD Path /Users/jee/Library/Application Support/AddressBook/Sources/01634A06-3F78-47EC-B022-F 709788093C8/Address"
core_access,ambani,Anil Ambani,drill-more,12,EFTA00507171,2,image.scan,,,, 18:07:15 (UTC) Modification Date 2017-11-09 02:38:48 (UTC) 11) 621 Contact Source Device NYCO24328.aff4/Macintosh HD Path /Users/jee/Library/Messages/Archive/2019-03-10/Anil Ambani on 2019-03-10 at 18. 02.23.ichat SourceType iChat First Anil Last Ambani Instant Message (iChat 919322911000 ID) ID 1396158 Contact Source Device NYCO24328.af
core_access,ambani,Anil Ambani,drill-more,12,EFTA00507171,3,image.scan,,,,SourceType Mac AddressBook First Anil Last Ambani Phone Number (Home) Phone Number (Mobile) Phone Number (Work) Address (Other) Mumbai India Email (Work) Creation Date 2017-11-09 02:38:43 (UTC) Modification Date 2019-03-18 01:12:27 (UTC) Note Anil Ambani ID 6249 Contact Source Device NYCO24328.aff4/Macintosh HD Path /Users/jee/Library/Con
core_access,ambani,Anil Ambani,drill-more,12,EFTA00507523,3,phone.extraction,,,,"Self Participants: Larry Summers ( ), Self ( harassment.html?action=click&module=Latest&pgtype=Homepage iMessage [6] 2019-05-14 22:45:32 UTC Sender: Self ( Participants: Anil Ambani ( ), Self ( ) ) Is there anyone youd like to join us on the 23 iMessage [7] 2019-05-14 22:46:09 UTC Sender: Self Participants: ( ), Self ( iMessage [4] 2019-0"
core_access,ambani,Anil Ambani,drill-more,12,EFTA00507523,16,phone.extraction,,,,/Macintosh HD /Users/jee/Libraty/Messages/Archive/2019-05-19A on 2019-05-19 at 10.17. 48.ichat NYCO24328.aff4/Macintosh HD /Users/jee/Library/Messages/Archive/2019-05-23/Anil Ambani on 2019-05-19 at 20.20.02.ich at NYCO24328.aff4/Macintosh HD /Users/jee/Libraty/Messages/Archive/2019-06-03A on 2019-05-18 at 08.44. 13.ichat NYCO24328.aff4/M
